Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
17,1.0,0.0,824.0,5.0,178.0,2649.0,0.0,351.17799999999914,351.17799999999914,0.0,265.96329951286316,,,,,,,,,,,,,,,,171.72056830880246,103.19226618650042,348.1561895030541,3.251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1.0,0.0,990.0,6.0,166.0,2815.0,0.0,339.91599999999954,339.91599999999954,0.0,277.53300499916077,,,,,,,,,,,,,,,,170.18137382056227,95.24807378842823,337.1247016647455,1.626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1.0,0.0,1163.0,7.0,173.0,2988.0,0.0,333.2979999999994,333.2979999999994,0.0,289.61287569999695,,,,,,,,,,,,,,,,164.82400051724792,97.07132059464772,330.47959275032696,1.626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1.0,0.0,1335.0,8.0,172.0,3160.0,0.0,342.92199999999934,342.92199999999934,0.0,301.59508872032166,,,,,,,,,,,,,,,,168.81146480279082,97.58951692276091,340.0524480501972,2.626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,1506.0,9.0,171.0,3331.0,0.0,345.42099999999937,345.42099999999937,0.0,313.6549482345581,,,,,,,,,,,,,,,,171.35336177094106,98.23193354009236,342.5251100247198,1.626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,1676.0,10.0,170.0,3501.0,0.0,317.7949999999997,317.7949999999997,0.0,325.491751909256,,,,,,,,,,,,,,,,158.06538690205682,89.55502397097277,315.1394023629015,1.626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,1840.0,11.0,164.0,3665.0,0.0,295.539,295.539,0.0,336.89461183547974,,,,,,,,,,,,,,,,148.49062457477643,82.81921826690697,293.13306706368013,2.251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,2.0,0.0,0.0,0.0,98.0,3763.0,0.0,160.47200001000022,160.47200001000022,0.0,410.70846033096313,,,,63.02926,3.635022,69.7388,59.7524,,,,,314.82068,164.38168,617.15564,55.973385,81.1743887660557,48.108893800731735,159.69246024611732,1e-08,0.9910996,0.0,0.9910996,0.9910996,3.6663711855526326e-17,1.0,1.4898534452108338,-4.159560980204601,458.56464,43.456387,518.1857,-30.450619,63.065605,3.6119468,69.72973,59.807446,-0.02642267,0.023444738,0.01895926,-0.048159856,434.58310855857076,116.51499110293719,526.566421855394,-0.8963786746020546,0.010304862,0.0,0.010304862,0.010304862,1.0016739,0.12905942,1.8805008,0.31551224,0.9989561,0.09471679,1.2,0.8
25,2.0,0.0,169.0,1.0,169.0,3932.0,0.0,350.41899999999947,350.41899999999947,0.0,426.9760766029358,,,,,,,,,,,,,,,,178.5294080852536,97.6140099953264,347.4365966630259,1.626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,2.0,0.0,268.0,2.0,99.0,4031.0,0.0,188.22300001000028,188.22300001000028,0.0,434.06865787506104,,,,,,,,,,,,,,,,91.78280865692584,54.97544158652812,187.33308351264773,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,2.0,0.0,440.0,3.0,172.0,4203.0,0.0,333.67199999999946,333.67199999999946,0.0,446.3425977230072,,,,,,,,,,,,,,,,161.58921130636384,96.4724001891932,330.92575814134506,1.251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2.0,0.0,525.0,4.0,85.0,4288.0,0.0,158.8340000100002,158.8340000100002,0.0,452.4197862148285,,,,,,,,,,,,,,,,75.8269266858054,47.61298812033674,158.205291662337,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,2.0,0.0,691.0,5.0,166.0,4454.0,0.0,344.16599999999937,344.16599999999937,0.0,464.03972697257996,,,,,,,,,,,,,,,,171.29615365832083,98.75646943847957,341.3566195112234,1.626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2.0,0.0,861.0,6.0,170.0,4624.0,0.0,323.79499999999945,323.79499999999945,0.0,475.83155822753906,,,,,,,,,,,,,,,,156.85591750351352,93.14451700576258,321.16056545898647,1.626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,2.0,0.0,1031.0,7.0,170.0,4794.0,0.0,343.2949999999993,343.2949999999993,0.0,487.61371994018555,,,,,,,,,,,,,,,,169.02658007534848,99.88417512942748,340.4555936980893,1.626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,2.0,0.0,1204.0,8.0,173.0,4967.0,0.0,318.0479999999997,318.0479999999997,0.0,499.65622091293335,,,,,,,,,,,,,,,,161.52726746474303,90.51905408717633,315.2851067835385,1.626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,2.0,0.0,1375.0,9.0,171.0,5138.0,0.0,297.7959999999999,297.7959999999999,0.0,511.5632266998291,,,,,,,,,,,,,,,,144.61802044281094,85.00725276422781,295.35256710713884,2.626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,2.0,0.0,1543.0,10.0,168.0,5306.0,0.0,324.6679999999996,324.6679999999996,0.0,523.2875752449036,,,,,,,,,,,,,,,,163.56176863938512,93.00810238401968,321.952357522611,2.626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,2.0,0.0,1671.0,11.0,128.0,5434.0,0.0,238.12700001000042,238.12700001000042,0.0,532.5542209148407,,,,,,,,,,,,,,,,115.99095370760921,69.00193406978472,236.66598240078278,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,3.0,0.0,0.0,0.0,170.0,5604.0,0.0,301.7949999999999,301.7949999999999,0.0,610.5943171977997,,,,67.71853,2.1957662,71.52238,65.132355,,,,,290.8876,148.2069,691.1032,67.59383,141.67799386962295,83.24222973653127,299.4164157457913,1.626,0.9948859,0.0,0.9948859,0.9948859,-3.4735929504839225e-17,1.0,2.6898138270658287,-4.109781445305761,460.56195,51.701702,527.022,-64.0566,67.76599,2.176778,71.53458,65.19962,-0.03756306,0.020395115,-0.00234597,-0.06734701,431.80868792213033,116.12392021520498,534.371253149182,-1.5765098313899273,0.0133170625,0.0,0.0133170625,0.0133170625,1.0072235,0.13816275,2.8099597,0.33044547,1.0018481,0.09361081,1.2,0.8
37,3.0,0.0,23.0,1.0,23.0,5627.0,0.0,35.77200001,35.77200001,0.0,618.2844350337982,,,,,,,,,,,,,,,,14.578409198647554,11.2413274070827,35.742043873230436,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,3.0,0.0,197.0,2.0,174.0,5801.0,0.0,331.4239999999995,331.4239999999995,0.0,630.6764402389526,,,,,,,,,,,,,,,,159.6390425810736,90.71041356028677,328.67914857394715,2.626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,3.0,0.0,374.0,3.0,177.0,5978.0,0.0,314.4269999999998,314.4269999999998,0.0,642.9621739387512,,,,,,,,,,,,,,,,160.45511026109557,89.21079146983688,311.6181063590147,2.626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,3.0,0.0,549.0,4.0,175.0,6153.0,0.0,337.6749999999994,337.6749999999994,0.0,655.1040408611298,,,,,,,,,,,,,,,,164.69304338221664,98.03560745536208,334.8263543762491,1.626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,3.0,0.0,717.0,5.0,168.0,6321.0,0.0,350.6679999999994,350.6679999999994,0.0,666.7735109329224,,,,,,,,,,,,,,,,173.8257344174061,99.30311059284111,347.7825059123791,1.626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
